state,forestarea_infirearea_hectares,firearea_hectares,proportionof_firearea_isforested,total_forestarea,proportionof_totalforest_infirearea
Australian Capital Territory,83,90,93,142,58
New South Wales,"5,123","5,682",90,"20,368",25
Queensland,514,574,90,"51,830",1
South Australia,137,313,44,"5,060",2.7
Tasmania,30,45,65,"3,699",0.8
Victoria,"1,457","1,583",92,"8,222",18
Western Australia,"1,143","2,044",56,"20,981",5.5
