latitude,longitude,brightness,acq_date,acq_time,daynight
-16.926,143.247,304,1/10/2019,1545,N
-30.1,150.058,325.5,10/01/2020,325,D
-36.454,149.989,323,4/01/2020,1505,N
-14.709,127.002,351.1,15/11/2019,130,D
-15.642,144.661,312.4,25/12/2019,1255,D
-25.267,149.105,349.5,19/12/2019,405,D
-37.353,148.342,324.8,18/12/2019,2345,N
-31.684,132.948,358.4,2/01/2020,415,D
-31.736,152.291,367.1,8/11/2019,410,N
-29.174,151.579,402.5,8/11/2019,410,D
-31.622,151.228,330.6,27/12/2019,315,N
-24.886,149.417,315.7,27/12/2019,1240,D
-37.643,149.21,315.5,4/01/2020,1505,D
-17.398,129.768,461,22/10/2019,510,D
-12.453,132.188,335.4,15/10/2019,505,N
-28.151,152.268,302.7,27/11/2019,1230,D
-31.843,121.506,324.5,1/01/2020,1435,D
-11.82,142.224,325.1,20/10/2019,55,D
-32.167,151.402,343.5,4/01/2020,405,N
-12.429,141.777,310.8,4/10/2019,1310,D
-31.954,121.581,340.5,8/01/2020,240,D
-15.944,136.173,335.4,17/12/2019,130,N
-27.239,152.196,311.9,18/11/2019,1235,D
-29.126,150.829,382.2,18/12/2019,320,D
-15.377,127.425,324.5,20/11/2019,1405,D
-16.23,142.292,309.2,21/12/2019,1320,N
-31.162,151.948,319.7,18/11/2019,1235,D
-37.09,146.991,339.4,1/01/2020,1255,D
-37.444,148.337,362.7,30/12/2019,1310,D
-17.635,143.687,312.3,23/12/2019,1310,N
-15.535,126.932,323,21/10/2019,1350,N
-37.644,148.561,326.4,1/01/2020,1255,N
-30.403,151.041,324.8,3/12/2019,405,N
-12.636,131.639,336.2,10/12/2019,125,D
-30.771,152.616,319.6,6/12/2019,1220,D
-30.682,118.839,347.2,26/11/2019,255,D
-13.108,143.201,332.4,26/12/2019,415,D
-14.972,142.662,373,10/12/2019,415,D
-34.274,150.373,325.9,30/12/2019,1445,D
-14.984,127.508,329,19/11/2019,110,N
-15.901,129.384,350.5,15/11/2019,135,D
-32.546,123.365,335.5,6/01/2020,1455,N
-35.686,149.908,344.2,31/12/2019,10,D
-29.238,152.88,352,23/11/2019,325,N
-30.65,152.241,337.8,15/11/2019,415,D
-31.054,151.951,327.7,15/11/2019,0,N
-17.46,126.043,364,28/12/2019,1635,D
-31.57,151.783,365.2,15/11/2019,415,D
-12.612,136.625,336.2,5/12/2019,105,D
-22.412,126.982,348.8,31/10/2019,215,D
-28.615,127.963,381.7,31/10/2019,500,D
-29.334,152.791,323.9,12/11/2019,1445,N
-15.326,143.806,332.4,14/11/2019,50,N
-32.692,121.132,366.1,26/12/2019,550,N
-15.295,127.466,334.8,17/12/2019,130,N
-19.822,143.453,318.1,23/12/2019,1305,D
-32.16,151.375,313.3,30/12/2019,1310,D
-29.181,153.264,354.1,22/11/2019,5,D
-29.261,152.401,329.5,9/11/2019,315,D
-30.009,151.938,336.6,4/12/2019,2335,D
-12.996,136.282,332.8,8/12/2019,140,N
-31.392,150.841,333,17/12/2019,0,D
-34.62,138.715,369.6,20/12/2019,30,D
-33.434,151.103,325.3,8/12/2019,5,D
-15.801,143.374,338.9,24/12/2019,425,D
-12.613,135.061,303.2,17/12/2019,1345,D
-27.252,127.71,341.2,26/12/2019,550,D
-28.253,152.538,347.5,19/12/2019,405,D
-25.777,152.03,338,4/12/2019,310,D
-15.837,141.777,330.9,17/12/2019,420,N
-17.52,144.792,360,18/12/2019,35,N
-29.103,152.53,338.2,9/10/2019,400,N
-12.351,132.311,320.6,23/10/2019,415,N
-30.194,150.832,336.1,6/12/2019,435,D
-29.786,152.622,341.9,14/11/2019,335,N
-16.512,137.607,339.5,15/12/2019,430,D
-30.199,150.161,304.1,25/10/2019,1455,D
-35.932,136.851,347.9,3/01/2020,500,D
-12.753,136.344,334.8,5/01/2020,450,N
-37.624,148.068,363.6,30/12/2019,1310,N
-37.652,148.341,308.9,31/12/2019,1215,D
-14.316,131.983,361.6,21/10/2019,1350,D
-34.259,150.177,341.6,18/12/2019,2345,D
-30.676,151.989,343,17/12/2019,0,N
-37.099,147.045,324.6,3/01/2020,1600,D
-27.821,131.884,353.6,30/12/2019,105,D
-30.204,150.136,310.2,24/10/2019,1240,D
-32.46,123.246,303.1,29/12/2019,1405,D
-30.962,152.041,317.9,7/11/2019,1425,N
-34.18,150.367,310.9,7/12/2019,1305,N
-37.278,148.407,313.8,20/12/2019,1230,D
-28.201,129.745,351.5,2/01/2020,555,D
-31.446,152.205,325.1,7/11/2019,2350,N
-13.923,131.176,340,23/10/2019,125,D
-11.217,142.331,318.1,13/10/2019,340,D
-15.804,135.477,332,27/11/2019,155,N
-37.519,148.211,380.7,30/12/2019,1310,N
-15.099,128.272,328.8,18/12/2019,215,D
-33.861,150.406,326,4/01/2020,1505,D
-12.775,135.463,346.1,26/10/2019,445,D
-11.627,142.23,318,4/10/2019,1310,D
-31.471,151.817,312,4/12/2019,1235,D
-32.989,150.243,341.9,30/12/2019,345,D
-31.029,152.582,336.2,15/11/2019,0,D
-13.218,141.837,315.3,22/10/2019,1600,D
-28.747,129.825,396.1,5/10/2019,140,D
-29.211,153.31,329.6,26/11/2019,1455,N
-32.791,150.921,333.5,14/12/2019,345,D
-19.779,144.438,382.2,2/01/2020,420,N
-27.163,128.829,342.1,3/11/2019,530,D
-37.37,147.573,316,20/12/2019,1550,N
-28.631,127.871,311.2,4/11/2019,1400,N
-32.634,150.437,330,20/12/2019,1235,D
-14.193,131.255,347.5,15/10/2019,505,D
-15.329,128.458,347.6,19/12/2019,120,D
-31.149,152.369,381.5,8/11/2019,410,D
-17.848,122.338,346.5,17/11/2019,545,D
-35.719,136.784,325.8,1/01/2020,1615,D
-29.713,119.502,347,17/12/2019,555,D
-13.186,130.609,377.1,22/10/2019,510,N
-18.313,143.863,339,22/12/2019,440,N
-15.653,129.758,329.3,6/10/2019,220,N
-15.658,130.755,306.4,2/12/2019,1430,D
-17.604,143.818,330,23/12/2019,55,D
-32.95,123.615,342.2,16/12/2019,230,N
-30.074,151.313,325.2,5/01/2020,310,N
-13.412,135.754,324.2,19/12/2019,120,N
-21.723,117.884,344.6,24/10/2019,635,D
-31.342,123.669,334.1,14/11/2019,510,D
-33.616,150.322,328.3,20/12/2019,2335,N
-30.647,152.633,300.2,23/10/2019,1510,N
-28.672,127.416,370,23/10/2019,130,D
-36.571,149.904,321.9,1/01/2020,1435,D
-29.692,152.701,315.1,4/12/2019,1235,D
-32.433,120.307,333.2,9/12/2019,645,D
-17.943,142.564,317.1,18/12/2019,1250,N
-32.746,151.041,325.9,26/12/2019,1510,D
-34.893,150.244,302,25/12/2019,1250,D
-29.287,151.544,349.1,10/11/2019,400,N
-38.075,141.829,343.5,22/12/2019,435,D
-19.412,138.626,313.5,27/12/2019,1550,D
-36.073,147.768,315.1,30/12/2019,1310,D
-36.043,149.92,361.6,30/12/2019,1310,N
-14.35,130.795,337,21/10/2019,425,D
-11.463,142.281,304.6,22/10/2019,1255,D
-33.473,150.566,328.1,9/12/2019,325,N
-17.393,143.192,361.5,24/12/2019,425,N
-34.865,138.829,404.3,20/12/2019,30,D
-34.258,150.006,378.6,31/12/2019,10,N
-35.475,149.643,411.5,1/12/2019,0,D
-19.511,146.481,381.4,12/10/2019,430,D
-12.207,134.659,337.5,25/11/2019,500,D
-26.639,152.441,346,9/11/2019,1240,D
-24.914,149.919,349.9,4/12/2019,25,D
-25.515,150.515,329.8,8/11/2019,410,D
-12.291,134.398,337.3,12/10/2019,435,N
-37.122,149.747,327.8,4/01/2020,1325,N
-28.728,152.458,321.3,6/12/2019,255,N
-33.901,122.131,312.1,26/12/2019,1515,D
-29.117,122.983,316.5,1/10/2019,1725,D
-12.517,136.672,327.4,10/11/2019,405,D
-24.506,125.874,313.7,26/12/2019,1335,D
-17.577,142.909,337.8,14/12/2019,350,D
-19.194,146.039,305.7,18/12/2019,1250,N
-36.057,147.575,310.6,31/12/2019,1530,D
-35.736,137.292,361.4,9/01/2020,145,D
-31.968,152.456,312.8,9/11/2019,1240,N
-35.983,147.66,334.2,30/12/2019,1310,N
-25.101,152.229,310.8,16/12/2019,1430,D
-14.005,130.964,333.6,20/10/2019,55,D
-33.942,150.091,414,5/12/2019,1315,D
-14.038,131.057,367.6,19/10/2019,440,N
-35.061,150.34,352.2,20/12/2019,2335,N
-28.332,152.62,395.8,12/11/2019,345,N
-32.808,151.057,317,4/12/2019,1235,D
-30.226,150.151,323.7,21/10/2019,420,N
-29.819,152.371,361.9,8/11/2019,410,D
-37.354,148.789,306.3,1/01/2020,1255,D
-15.449,143.33,407.6,8/12/2019,425,D
-34.405,118.237,328,28/12/2019,120,D
-33.389,150.204,334.5,15/12/2019,2315,D
-37.21,147.087,433.9,4/01/2020,400,N
-33.148,150.471,370.2,8/11/2019,410,N
-12.925,136.139,337.1,10/11/2019,115,D
-14.947,126.192,312.3,25/11/2019,1425,D
-29.151,151.588,314.1,9/11/2019,1240,D
-34.104,150.283,418,3/12/2019,405,N
-30.813,151.821,333.3,16/12/2019,335,N
-37.269,149.184,353.9,4/01/2020,1505,D
-14.109,130.073,331.5,10/12/2019,125,N
-15.572,125.055,349.4,21/11/2019,520,N
-30.09,152.516,341.4,12/11/2019,345,D
-27.985,127.857,353.9,22/10/2019,505,N
-35.51,150.177,336.6,26/11/2019,1320,D
-31.933,122.838,316.6,10/11/2019,1500,N
-21.756,117.938,350.1,25/10/2019,540,N
-30.783,151.901,331,28/11/2019,345,D
-30.402,150.221,310.9,16/11/2019,1245,D
-14.416,127.386,317,25/12/2019,1435,D
-18.57,143.755,307.9,20/12/2019,1235,N
-16.295,123.975,315.7,6/12/2019,1405,D
-31.515,152.083,322.3,6/12/2019,1220,D
-41.302,147.093,321,30/10/2019,415,N
-17.297,123.853,341.4,4/11/2019,150,N
-29.972,152.742,326,9/11/2019,35,D
-36.238,149.625,397.6,30/12/2019,1310,N
-18.377,145.4,333.7,11/01/2020,415,N
-35.726,136.964,354.9,21/12/2019,115,N
-33.006,150.957,433.4,5/12/2019,350,D
-37.328,148.326,312.1,23/11/2019,325,D
-29.831,152.258,344.9,10/11/2019,400,N
-41.553,147.962,333.5,1/01/2020,1255,N
-18.197,143.808,333,20/12/2019,25,D
-24.65,127.235,351.7,1/01/2020,515,N
-13.02,135.779,321.9,22/10/2019,1600,N
-28.235,152.542,352.7,18/12/2019,320,D
-12.267,134.432,337.8,14/10/2019,420,N
-26.079,119.287,373.1,25/10/2019,540,N
-35.171,150.453,309.3,3/01/2020,1245,D
-31.289,123.716,328.1,12/11/2019,525,N
-29.377,152.124,313.3,19/12/2019,1505,N
-32.095,121.608,361.2,21/12/2019,530,D
-17.771,143.877,309.8,11/01/2020,1340,D
-16.319,126.578,343,19/11/2019,535,D
-34.878,138.819,314.5,20/12/2019,1550,N
-33.265,150.154,316.6,19/12/2019,1505,D
-35.363,147.88,423.8,30/12/2019,345,N
-21.66,116.853,417.2,17/11/2019,545,N
-34.157,116.016,317.8,7/11/2019,645,D
-13.994,130.882,342.6,22/10/2019,510,D
-28.198,129.706,360.8,2/01/2020,555,N
-14.143,131.057,362,17/10/2019,450,D
-36.991,147.432,402.9,4/01/2020,400,N
-33.371,150.816,321.3,18/11/2019,1235,N
-16.131,137.136,312,4/12/2019,1545,D
-15.109,127.455,337.5,17/11/2019,1335,N
-32.719,150.844,357.5,28/12/2019,355,D
-34.279,150.155,385.4,21/12/2019,350,D
-20.209,139.667,349,25/11/2019,455,D
-14.911,131.391,343.6,20/11/2019,440,N
-32.962,150.205,337.2,20/12/2019,30,D
-14.178,133.518,343.6,12/10/2019,145,D
-12.889,143.503,310.2,23/11/2019,1600,D
-15.746,144.097,305.8,21/11/2019,1310,D
-30.459,152.527,314.8,4/12/2019,1235,D
-32.963,150.455,333.1,21/11/2019,340,D
-31.54,151.668,339.6,21/12/2019,350,D
-30.052,152.847,384.4,8/11/2019,1510,D
-29.01,152.928,392.6,8/10/2019,2340,N
-14.07,135.087,306.5,5/12/2019,1320,N
-12.602,135.063,333.2,17/12/2019,130,D
-30.718,123.491,350,22/12/2019,615,D
-35.556,149.917,350.6,29/12/2019,2330,N
-22.115,131.911,342.4,30/11/2019,515,D
-30.767,151.869,328.2,4/12/2019,2335,D
-30.759,152.142,312.5,4/11/2019,1220,N
-29.009,128.22,344.7,1/01/2020,510,D
-16.537,124.548,306.6,20/11/2019,1710,N
-29.695,151.915,300.2,29/10/2019,1300,N
-15.317,143.849,301.9,16/11/2019,1555,D
-16.798,123.847,330.5,16/12/2019,230,D
-17.286,143.515,333.9,10/10/2019,20,N
-28.826,152.339,330.6,18/12/2019,320,D
-36.635,149.636,319.4,30/12/2019,1445,N
-20.736,139.479,314.4,26/12/2019,1340,D
-31.62,152.079,370.2,30/12/2019,345,D
-12.674,142.237,328.6,13/10/2019,50,D
-17.761,122.812,349.8,18/10/2019,535,D
-37.096,147.307,363.6,3/01/2020,2345,D
-30.819,152.342,307.9,8/11/2019,1510,D
-29.279,152.26,314.9,4/12/2019,1545,D
-29.315,128.203,356.5,19/12/2019,545,D
-14.124,131.326,337,1/10/2019,450,D
-33.132,123.331,345,19/12/2019,540,D
-37.67,148.798,311,2/01/2020,1520,D
-33.159,150.058,311.7,3/01/2020,1245,D
-31.386,123.913,359.3,30/10/2019,555,N
-18.403,145.297,300.8,29/12/2019,1535,N
-15.035,144.921,303.4,25/12/2019,1255,N
-13.363,135.755,360.9,8/12/2019,140,N
-37.424,147.749,306.7,29/12/2019,1225,D
-13.366,135.354,338.8,24/12/2019,425,D
-17.969,145.015,340.6,17/12/2019,420,N
-28.027,147.3,338,23/10/2019,410,N
-15.634,130.74,309.2,3/12/2019,1640,N
-33.971,150.378,313.6,2/12/2019,1600,N
-24.82,147.741,328.8,27/12/2019,35,D
-23.679,128.521,348.5,28/12/2019,115,D
-37.616,148.678,317.3,2/01/2020,1520,N
-32.922,150.691,307.9,4/12/2019,1235,D
-30.016,152.152,334.6,2/12/2019,2345,D
-13.725,131.39,338.5,18/12/2019,505,D
-29.933,152.199,361,6/12/2019,15,N
-37.197,148.363,343.9,30/12/2019,1310,D
-31.764,152.337,314.4,9/11/2019,1240,D
-17.381,142.986,331.2,19/12/2019,120,N
-16.313,143.225,340,14/12/2019,100,D
-14.456,127.564,328.7,13/12/2019,445,D
-33.321,150.414,305.7,3/12/2019,1505,D
-31.198,152.486,322.1,5/12/2019,350,N
-32.81,150.276,304.4,17/12/2019,1515,N
-31.234,152.764,322.9,7/11/2019,1250,D
-30.439,152.486,301.8,29/11/2019,1215,D
-30.81,152.344,315.4,8/11/2019,1510,D
-31.515,152.314,325.4,2/12/2019,2345,N
-12.733,136.097,330.4,24/10/2019,500,D
-25.445,149.186,349.2,6/01/2020,355,D
-27.371,150.88,307.9,15/12/2019,1525,N
-32.984,123.604,331.7,4/12/2019,1725,D
-14.223,133.36,333.1,7/10/2019,125,N
-25.412,149.222,330.3,3/01/2020,40,D
-13.168,134.54,343.7,23/10/2019,125,N
-31.396,151.379,315.2,18/12/2019,1245,N
-37.36,148.611,406.3,30/12/2019,1310,N
-37.579,147.618,311.2,24/12/2019,5,N
-31.499,151.884,370.9,22/11/2019,5,D
-37.566,147.558,320.1,3/01/2020,1245,D
-41.596,147.822,326,3/01/2020,455,N
-32.026,121.363,334.6,22/12/2019,155,N
-29.931,152.695,317.4,8/11/2019,1510,D
-15.954,126.547,335.8,14/10/2019,600,N
-28.755,128.834,369.4,2/01/2020,555,N
-33.059,150.388,332.3,28/10/2019,425,D
-11.884,142.211,332.6,3/10/2019,440,N
-27.414,150.894,380.8,16/12/2019,335,D
-31.534,151.662,331.4,19/12/2019,405,D
-31.442,151.793,340.7,4/01/2020,405,D
-17.428,123.854,366.4,19/11/2019,535,D
-13.125,133.676,300.5,14/12/2019,1315,D
-15.469,125.585,304.7,9/11/2019,1725,D
-32.993,150.535,345.6,18/11/2019,2335,D
-31.51,152.347,317.8,21/11/2019,340,N
-11.629,132.874,338.9,15/10/2019,505,N
-30.798,119.944,466.9,19/12/2019,545,N
-15.441,143.389,308.6,11/12/2019,1245,D
-32.151,151.342,333.3,29/12/2019,2330,D
-30.148,150.306,319.7,15/12/2019,1215,D
-13.88,130.839,329.7,25/11/2019,500,D
-31.228,123.665,328.9,13/11/2019,605,D
-16.016,124.847,337.2,4/11/2019,1710,D
-15.534,141.784,306,30/11/2019,1605,D
-14.4,131.994,323.7,21/10/2019,1655,D
-31.487,151.268,317.3,4/01/2020,1505,D
-30.899,151.894,334.6,13/11/2019,1530,N
-31.872,121.551,322.4,1/01/2020,1435,N
-25.861,129.753,362.7,25/12/2019,505,D
-25.903,129.81,331,25/12/2019,45,D
-33.149,150.263,318.8,18/11/2019,310,D
-35.809,136.877,329.5,9/01/2020,5,D
-35.438,148.066,308.1,3/01/2020,1245,N
-21.185,120.69,330.8,13/12/2019,620,N
-33.211,150.977,321.5,25/12/2019,2350,D
-12.44,131.66,325.4,5/12/2019,105,N
-12.929,130.486,326.5,20/10/2019,525,N
-30.154,150.897,315.2,6/12/2019,1535,D
-30.82,122.929,332.8,27/11/2019,620,D
-31.371,151.234,310.2,21/12/2019,1450,D
-31.462,151.793,341.4,6/01/2020,350,D
-29.889,152.524,315,8/11/2019,1510,N
-31.872,121.486,317.4,7/01/2020,1715,D
-36.426,147.871,316.1,4/01/2020,1325,D
-30.816,151.923,301.2,17/11/2019,1330,D
-17.707,122.737,351.5,8/12/2019,605,D
-17.351,143.005,353.1,19/12/2019,405,D
-30.698,152.852,317.7,9/11/2019,35,D
-35.262,150.217,326.3,19/12/2019,1505,N
-32.334,150.151,338.1,1/12/2019,415,D
-19.659,144.989,341.3,28/12/2019,400,N
-33.029,123.583,331.4,4/12/2019,1410,N
-29.161,152.722,339.7,14/11/2019,335,D
-11.505,142.287,323.6,19/10/2019,440,N
-28.414,128.846,343.7,14/10/2019,135,D
-12.493,136.336,331.5,16/10/2019,410,N
-11.487,142.153,322.1,18/10/2019,105,N
-29.604,152.644,317.1,6/12/2019,1535,N
-37.45,148.301,357.2,30/12/2019,1310,D
-36.021,148.354,504.9,4/01/2020,400,N
-16.854,142.128,312.8,7/12/2019,1310,N
-34.303,150.563,331.1,20/12/2019,305,D
-30.08,152.729,317,8/11/2019,1155,D
-18.499,145.82,333.5,3/12/2019,405,D
-31.055,152.246,364.9,7/11/2019,2350,D
-14.457,142.085,327.5,7/12/2019,55,D
-31.641,152.055,321.6,5/12/2019,1450,D
-14.825,127.495,357.8,20/11/2019,1405,D
-33.185,150.079,347.1,31/12/2019,10,N
-34.08,150.374,343.8,3/12/2019,405,D
-16.383,136.16,329.4,15/12/2019,145,D
-29.241,152.766,416.5,26/11/2019,400,D
-35.896,147.545,307.1,31/12/2019,1215,D
-31.486,152.225,366.5,12/11/2019,345,N
-12.188,132.731,378.5,12/10/2019,145,N
-37.132,147.033,320.9,3/01/2020,2345,D
-32.545,150.218,333.8,3/01/2020,2345,D
-32.594,150.245,338.5,31/12/2019,10,N
-34.366,150.498,333.4,27/12/2019,315,D
-19.761,144.264,353.1,10/01/2020,1255,D
-31.366,151.728,309.1,21/12/2019,1315,N
-33.262,150.727,327.2,15/11/2019,0,D
-14.437,127.47,370.2,11/12/2019,500,D
-29.194,151.525,378.7,7/11/2019,1250,N
-33.083,149.844,359,17/12/2019,415,D
-32.332,121.279,351.1,28/12/2019,535,D
-32.128,151.349,339.9,28/12/2019,355,D
-15.554,129.699,347.1,8/10/2019,500,D
-32.893,150.165,339.9,19/12/2019,405,N
