State,Total forest area('000 hectares),Forest area in fire area('000 hectares),Proportion of total forest in fire area(%)
Australian Capital Territory,,83,58
New South Wales,,"5,123",25
Northern Territory,,0,0
Queensland,,514,1
South Australia,,137,2.7
Tasmania,,30,0.8
Victoria,,"1,457",18
Western Australia,,"1,143",5.5
,,,
